Date,Price,Open,High,Low,Price,,"FTSE 1-day 
return","FTSE 2-day 
return","FTSE 3-day 
return","FTSE 4-day 
return","FTSE 5-day 
return"
11/10/2009,"5,230.50","5,235.20","5,264.30","5,221.50","5,230.50",,,,,,
11/11/2009,"5,266.80","5,230.50","5,301.10","5,230.50","5,266.80",,-0.116020367,,,,
11/12/2009,"5,276.50","5,266.80","5,304.90","5,254.10","5,276.50",,0.98250376,0.865343489,,,
11/13/2009,"5,296.40","5,276.50","5,297.40","5,251.30","5,296.40",,-0.077449997,0.904292814,0.787223283,,
11/16/2009,"5,382.70","5,296.40","5,397.00","5,296.40","5,382.70",,0.403783169,0.326020441,1.311727365,1.194185127,
11/17/2009,"5,345.90","5,382.70","5,382.70","5,337.00","5,345.90",,2.074789371,2.48695019,2.40757405,3.413732316,3.293751324
11/18/2009,"5,342.10","5,345.90","5,372.10","5,331.60","5,342.10",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/19/2009,"5,267.70","5,342.10","5,343.80","5,254.20","5,267.70",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/20/2009,"5,251.40","5,267.70","5,309.40","5,224.00","5,251.40",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/23/2009,"5,355.50","5,251.40","5,379.50","5,251.40","5,355.50",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/24/2009,"5,324.00","5,355.50","5,374.90","5,309.10","5,324.00",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/25/2009,"5,364.80","5,324.00","5,372.20","5,324.00","5,364.80",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/26/2009,"5,194.10","5,364.80","5,364.80","5,189.40","5,194.10",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/27/2009,"5,245.70","5,194.10","5,271.00","5,103.80","5,245.70",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
11/30/2009,"5,190.70","5,245.70","5,270.40","5,190.70","5,190.70",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/1/2009,"5,312.20","5,190.70","5,312.20","5,190.70","5,312.20",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/2/2009,"5,327.40","5,312.20","5,348.50","5,283.00","5,327.40",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/3/2009,"5,313.00","5,327.40","5,372.40","5,311.90","5,313.00",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/4/2009,"5,322.40","5,313.00","5,373.90","5,272.80","5,322.40",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/7/2009,"5,310.70","5,322.40","5,328.80","5,251.00","5,310.70",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/8/2009,"5,223.10","5,310.70","5,323.40","5,206.40","5,223.10",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/9/2009,"5,203.90","5,223.10","5,245.90","5,175.70","5,203.90",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/10/2009,"5,244.40","5,203.90","5,254.50","5,194.50","5,244.40",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/11/2009,"5,261.60","5,244.40","5,312.00","5,244.40","5,261.60",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/14/2009,"5,315.30","5,261.60","5,331.00","5,261.60","5,315.30",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/15/2009,"5,285.80","5,315.30","5,328.10","5,250.80","5,285.80",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/16/2009,"5,320.30","5,285.80","5,335.30","5,283.90","5,320.30",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/17/2009,"5,217.60","5,320.30","5,320.30","5,217.60","5,217.60",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/18/2009,"5,196.80","5,217.60","5,287.60","5,196.80","5,196.80",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/21/2009,"5,294.00","5,196.80","5,320.00","5,196.80","5,294.00",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/22/2009,"5,328.70","5,294.00","5,361.90","5,294.00","5,328.70",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/23/2009,"5,372.40","5,328.70","5,386.60","5,328.70","5,372.40",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/24/2009,"5,402.40","5,372.40","5,402.40","5,367.80","5,402.40",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/29/2009,"5,437.60","5,402.40","5,445.20","5,402.40","5,437.60",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/30/2009,"5,397.90","5,437.60","5,442.80","5,390.60","5,397.90",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
12/31/2009,"5,412.90","5,397.90","5,431.90","5,390.40","5,412.90",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
1/4/2010,"5,500.30","5,412.90","5,500.30","5,410.80","5,500.30",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
1/5/2010,"5,522.50","5,500.30","5,536.40","5,480.70","5,522.50",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
1/6/2010,"5,530.00","5,522.50","5,536.50","5,497.60","5,530.00",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
1/7/2010,"5,526.70","5,530.00","5,551.70","5,499.80","5,526.70",,-0.454616143,1.6107409,2.02102797,1.942012686,2.943596794
