Date,Open,High,Low,Close,Adj Close,Volume," HSI 1-day 
return"," HSI 2-day 
return"," HSI 3-day 
return"," HSI 4-day 
return"," HSI 5-day 
return"
11/10/2009,22556.56055,22556.56055,22200.24023,22268.16016,22268.16016,0,,,,,
11/11/2009,22534.14063,22643.66016,22396.03906,22627.21094,22627.21094,1321250300,1.612395364,,,,
11/12/2009,22660.4707,22707.35938,22359.08984,22397.57031,22397.57031,1415963700,-1.014887012,0.581144361,,,
11/13/2009,22381.33984,22585.5293,22343.99023,22553.63086,22553.63086,1424375200,0.696774444,-0.325184041,1.28196807,,
11/16/2009,22789.99023,22998.84961,22770.68945,22943.98047,22943.98047,1663684400,1.730761723,2.439595672,1.39994952,3.034917606,
11/17/2009,23000.36914,23000.36914,22798.01953,22914.15039,22914.15039,1263504800,-0.130012654,1.598498859,2.306411235,1.268116755,2.900959174
11/18/2009,22974.35938,23099.57031,22645.74023,22840.33008,22840.33008,1646321200,-0.322160376,-0.451754181,1.271188754,1.976820516,0.941871009
11/19/2009,22894.83984,22894.83984,22587.17969,22643.16016,22643.16016,1302322400,-0.863253383,-1.182632698,-1.31110778,0.396961791,1.096502163
11/20/2009,22486.56055,22584.55078,22376.35938,22455.83984,22455.83984,1444953400,-0.827271064,-1.683383001,-2.000120184,-2.127532429,-0.433593223
11/23/2009,22541.68945,22794.13086,22490.33984,22771.39063,22771.39063,1136305700,1.405205876,0.56630995,-0.301832122,-0.623020114,-0.752222764
11/24/2009,22697.61914,22813.92969,22395.38086,22423.14063,22423.14063,1780954800,-1.529331281,-0.145615658,-0.971682086,-1.82654739,-2.142823354
11/25/2009,22505.92969,22638.89063,22336.07031,22611.80078,22611.80078,2905056800,0.841363657,-0.700834862,0.694522842,-0.138493809,-1.000551639
11/26/2009,22580.25,22580.25,22108.25977,22210.41016,22210.41016,2298765800,-1.775137809,-0.948709516,-2.463531886,-1.092943705,-1.911173162
11/27/2009,21623.91992,21685.13086,21002.49023,21134.5,21134.5,3974764000,-4.844170587,-6.533317692,-5.746922996,-7.188364786,-5.884170234
11/30/2009,21687.68945,21924.08008,21687.68945,21821.5,21821.5,2028632400,3.250609193,-1.751026448,-3.495081124,-2.68312381,-4.171421239
12/1/2009,21813.41992,22130.75,21789.41016,22113.15039,22113.15039,1442550900,1.336527695,4.630582181,-0.437901706,-2.205266157,-1.382456807
12/2/2009,22402.50977,22439.35938,22266.68945,22289.57031,22289.57031,1617587100,0.797805464,2.14499605,5.465330682,0.356410154,-1.425054427
12/3/2009,22503.67969,22593.7207,22333.66992,22553.86914,22553.86914,1437844200,1.185751113,1.993016563,3.356181477,6.715887014,1.546387404
12/4/2009,22400.49023,22528.83984,22240.85938,22498.15039,22498.15039,1417672800,-0.247047412,0.935774333,1.741045456,3.100842706,6.452248177
12/7/2009,22387.23047,22476.61914,22256.10938,22324.96094,22324.96094,0,-0.769794183,-1.014939838,0.158776614,0.957848806,2.307178416
12/8/2009,22306.16992,22306.16992,22055.01953,22060.51953,22060.51953,1317624300,-1.184510055,-1.945185948,-2.187427829,-1.027614166,-0.238007064
12/9/2009,21905.80078,22034.81055,21658.26953,21741.75977,21741.75977,1563804600,-1.444933174,-2.61232785,-3.362012485,-3.600754132,-2.457699001
12/10/2009,21939.11914,21981.38086,21565.58008,21700.03906,21700.03906,1620539100,-0.191892025,-1.634052487,-2.799207025,-3.547453076,-3.785736597
12/11/2009,21796.83008,22143.83984,21796.83008,21902.10938,21902.10938,1537443400,0.931197918,0.737518999,-0.718070831,-1.894075265,-2.649288967
12/14/2009,21638.9707,22225.76953,21546.5293,22085.75,22085.75,1895287600,0.838460907,1.777466556,1.582163715,0.114369333,-1.071495438
