Date,Open,High,Low,Close,Adj Close,Volume,"Nasdaq  1-day 
return","Nasdaq 2-day 
return","Nasdaq 3-day 
return","Nasdaq 4-day 
return","Nasdaq 5-day 
return"
11/9/2009,2128.459961,2154.060059,2128.149902,2154.060059,2154.060059,2004700000,,,,,
11/10/2009,2147.23999,2160.639893,2141.27002,2151.080078,2151.080078,1997240000,-0.138342521,,,,
11/11/2009,2166.530029,2177.909912,2155.25,2166.899902,2166.899902,1851790000,0.735436312,0.59607637,,,
11/12/2009,2166.97998,2179.189941,2145.830078,2149.02002,2149.02002,2212370000,-0.8251365,-0.095768541,-0.233978574,,
11/13/2009,2156.679932,2172.050049,2145.919922,2167.879883,2167.879883,1876220000,0.877602946,0.045225024,0.780993938,0.641570969,
11/16/2009,2177.310059,2205.320068,2177,2197.850098,2197.850098,2105020000,1.382466586,2.272202099,1.42831683,2.174257503,2.032907059
11/17/2009,2190.120117,2203.780029,2185.550049,2203.780029,2203.780029,1887240000,0.26980598,1.656002543,2.548138616,1.701976495,2.44992976
11/18/2009,2199.870117,2200.149902,2180.169922,2193.139893,2193.139893,1990220000,-0.482812979,-0.214309657,1.16519417,2.053022894,1.210946153
11/19/2009,2176.370117,2176.51001,2141.590088,2156.820068,2156.820068,2208700000,-1.656065129,-2.13088241,-1.866825678,-0.510167334,0.362958368
11/20/2009,2145.070068,2150.080078,2137.060059,2146.040039,2146.040039,1962760000,-0.499811234,-2.147599164,-2.620043255,-2.357306308,-1.007428694
11/23/2009,2168.949951,2189.5,2168.77002,2176.01001,2176.01001,1840170000,1.396524317,0.889733098,-0.781066591,-1.260108479,-0.993702347
11/24/2009,2174.689941,2175.149902,2155.219971,2169.179932,2169.179932,1858490000,-0.313880817,1.078260078,0.573059579,-1.09249579,-1.570034057
11/25/2009,2174,2178.620117,2170.060059,2176.050049,2176.050049,1398610000,0.316714944,0.001840019,1.398390033,0.891589488,-0.779240944
11/27/2009,2115.959961,2155.409912,2113.98999,2138.439941,2138.439941,971990000,-1.728365945,-1.417124995,-1.726557728,-0.35414521,-0.852186386
11/30/2009,2135.929932,2146.929932,2120.699951,2144.600098,2144.600098,1986050000,0.288067805,-1.445277006,-1.133139471,-1.44346358,-0.067097583
12/1/2009,2162.22998,2182.23999,2162.22998,2175.810059,2175.810059,2151300000,1.455281151,1.747541153,-0.011028699,0.305651316,-0.009188882
12/2/2009,2178.51001,2198.550049,2177.820068,2185.030029,2185.030029,2068920000,0.423748845,1.885196734,2.178695184,0.412673413,0.730695355
12/3/2009,2190.419922,2203.75,2172.040039,2173.139893,2173.139893,2001660000,-0.544163505,-0.122720547,1.330774676,1.622676014,-0.133735711
12/4/2009,2203.75,2214.389893,2169.659912,2194.350098,2194.350098,2305950000,0.97601655,0.426541918,0.85209823,2.319779806,2.61453015
12/7/2009,2191.350098,2201.419922,2183.129883,2189.610107,2189.610107,1878980000,-0.216008877,0.75789939,0.209611673,0.634248745,2.098759999
12/8/2009,2174.719971,2187.189941,2160.429932,2172.98999,2172.98999,1981800000,-0.759044587,-0.97341386,-0.006897991,-0.55102396,-0.129610073
12/9/2009,2170.02002,2185.699951,2155.959961,2183.72998,2183.72998,1906210000,0.494249401,-0.26854676,-0.483975552,0.487317316,-0.059497992
12/10/2009,2194.899902,2202.840088,2187.080078,2190.860107,2190.860107,1946370000,0.326511385,0.822374566,0.057087789,-0.159044402,0.815419847
12/11/2009,2200.959961,2202.399902,2179.51001,2190.310059,2190.310059,1754430000,-0.025106487,0.301322923,0.79706161,0.03196697,-0.184110959
12/14/2009,2202.310059,2212.560059,2193.199951,2212.100098,2212.100098,1841890000,0.994838101,0.969481846,1.299158699,1.799829184,1.02712309
12/15/2009,2203.540039,2217.629883,2197.76001,2201.050049,2201.050049,1946960000,-0.499527531,0.49034108,0.465111486,0.793141513,1.291311011
12/16/2009,2210.350098,2220.459961,2203.330078,2206.909912,2206.909912,2022440000,0.266230339,-0.234627086,0.757876855,0.732580093,1.061483435
12/17/2009,2193.5,2198.51001,2178.050049,2180.050049,2180.050049,1904840000,-1.217080174,-0.954090072,-1.44885166,-0.468427288,-0.493416169
12/18/2009,2197.570068,2213.179932,2190.689941,2211.689941,2211.689941,2848410000,1.451337872,0.216593753,0.48340073,-0.018541521,0.976112122
12/21/2009,2224.040039,2242.219971,2224.040039,2237.659912,2237.659912,1808830000,1.174213913,2.642593597,1.39335094,1.663290801,1.155454675
12/22/2009,2242.610107,2253.72998,2241.330078,2252.669922,2252.669922,1724200000,0.670790495,1.852880923,3.331110358,2.0734879,2.345238493
12/23/2009,2257.209961,2271.330078,2253.669922,2269.639893,2269.639893,1582900000,0.753327011,1.429170752,2.620166187,4.109531524,2.842435056
12/24/2009,2273.949951,2285.889893,2273.399902,2285.689941,2285.689941,632650000,0.707162755,1.465817015,2.146440071,3.345857782,4.845755355
12/28/2009,2290.040039,2295.800049,2280.560059,2291.080078,2291.080078,1232130000,0.235821005,0.944651399,1.705094724,2.387322833,3.589569023
12/29/2009,2293.939941,2294.75,2286.570068,2288.399902,2288.399902,1177710000,-0.116983078,0.118562057,0.826563238,1.586116974,2.267546991
12/30/2009,2284.560059,2293.02002,2280.159912,2291.280029,2291.280029,1312670000,0.125857679,0.008727368,0.244568955,0.953461211,1.713970903
12/31/2009,2292.919922,2293.590088,2269.110107,2269.149902,2269.149902,1237820000,-0.965841221,-0.841199127,-0.957198145,-0.723634414,-0.021588931
1/4/2010,2294.409912,2311.149902,2294.409912,2308.419922,2308.419922,1931380000,1.730604927,0.74804881,0.874847966,0.756841464,0.99444726
1/5/2010,2307.27002,2313.72998,2295.620117,2308.709961,2308.709961,2367860000,0.012564395,1.743386762,0.760707193,0.887522281,0.769500952
1/6/2010,2307.709961,2314.070068,2295.679932,2301.090088,2301.090088,2253340000,-0.330048951,-0.317526024,1.407583782,0.428147537,0.554544072
1/7/2010,2298.090088,2301.300049,2285.219971,2300.050049,2300.050049,2270050000,-0.045197665,-0.375097442,-0.362580175,1.361749921,0.382756358
1/8/2010,2292.23999,2317.600098,2290.610107,2317.169922,2317.169922,2145390000,0.744326107,0.698792024,0.366436718,0.379047153,2.116211889
1/11/2010,2324.780029,2326.280029,2302.209961,2312.409912,2312.409912,2077890000,-0.205423433,0.537373654,0.491933109,0.160260538,0.172845069
1/12/2010,2297.280029,2298.850098,2272.699951,2282.310059,2282.310059,2368320000,-1.301665974,-1.50441548,-0.77128713,-0.816136191,-1.143491493
1/13/2010,2289.459961,2313.030029,2274.120117,2307.899902,2307.899902,2318350000,1.121225528,-0.195035057,-0.400057843,0.34129053,0.295938609
1/14/2010,2303.310059,2322.560059,2303.290039,2316.73999,2316.73999,2254170000,0.383036023,1.508556248,0.187253911,-0.018554185,0.725633819
1/15/2010,2316.97998,2322.540039,2279.199951,2287.98999,2287.98999,2637770000,-1.240967917,-0.862685248,0.248867632,-1.056037767,-1.259291851
1/19/2010,2291.02002,2320.399902,2290.679932,2320.399902,2320.399902,2045290000,1.41652333,0.157976813,0.541617944,1.66891623,0.345526542
1/20/2010,2304.310059,2304.469971,2268.679932,2291.25,2291.25,2351890000,-1.256244752,0.142483578,-1.100252515,-0.721430855,0.391705805
1/21/2010,2298.22998,2308.97998,2259.820068,2265.699951,2265.699951,2877800000,-1.115113977,-2.357350169,-0.974219253,-2.203097422,-1.828500056
1/22/2010,2255.76001,2262.27002,2200.370117,2205.290039,2205.290039,2817620000,-2.666280324,-3.751662237,-4.960776929,-3.614524161,-4.810636993
1/25/2010,2220.290039,2223.219971,2201.169922,2210.800049,2210.800049,2134350000,0.24985421,-2.423087928,-3.511181713,-4.723317429,-3.373700992
1/26/2010,2203.439941,2227.889893,2195.439941,2203.72998,2203.72998,2361260000,-0.319796854,-0.07074167,-2.735135823,-3.819749918,-5.028009263
1/27/2010,2200.300049,2225.669922,2192.590088,2221.409912,2221.409912,2492880000,0.802273063,0.479910565,0.730963851,-1.954806018,-3.04812168
1/28/2010,2220.310059,2220.870117,2166.899902,2179,2179,2829640000,-1.909143908,-1.122187392,-1.438395526,-1.192135208,-3.826629866
1/29/2010,2198.26001,2202.840088,2140.340088,2147.350098,2147.350098,3090580000,-1.45249665,-3.333910306,-2.558384308,-2.869999529,-2.627316134
2/1/2010,2155.810059,2171.199951,2152.26001,2171.199951,2171.199951,2234140000,1.110664396,-0.357964617,-2.260274465,-1.476134975,-1.791211196
2/2/2010,2171.659912,2193.659912,2161.469971,2190.060059,2190.060059,2468470000,0.868649062,1.988961234,0.507574989,-1.411259256,-0.620308346
2/3/2010,2181.01001,2194.530029,2176.75,2190.909912,2190.909912,2303350000,0.038805009,0.90779115,2.028538059,0.546576962,-1.373001887
2/4/2010,2176.389893,2178.25,2125.429932,2125.429932,2125.429932,2801390000,-2.98871166,-2.951066421,-2.10805177,-1.020800754,-2.458470307
2/5/2010,2131.919922,2142.27002,2100.169922,2141.120117,2141.120117,2811100000,0.738212291,-2.272562406,-2.234639265,-1.385401376,-0.29012414
2/8/2010,2140.100098,2152.639893,2125.110107,2126.050049,2126.050049,2036280000,-0.703840382,0.029176074,-2.960407575,-2.922751353,-2.079490743
2/9/2010,2153.100098,2166.159912,2132.580078,2150.870117,2150.870117,2296420000,1.167426327,0.455369128,1.19694301,-1.827541825,-1.789445994
2/10/2010,2147.459961,2156.360107,2131.080078,2147.870117,2147.870117,2059940000,-0.139478436,1.026319583,0.31525555,1.055795096,-1.964471235
2/11/2010,2145.090088,2179.540039,2134.139893,2177.409912,2177.409912,2141260000,1.375306391,1.2339097,2.415741013,1.694897671,2.445621905
2/12/2010,2157.689941,2184.570068,2151.98999,2183.530029,2183.530029,2236180000,0.281073259,1.660245269,1.518451149,2.703604274,1.980734834
2/16/2010,2200.379883,2214.189941,2189.179932,2214.189941,2214.189941,2072850000,1.40414428,1.689164213,3.087701788,2.943916674,4.145711059
2/17/2010,2222.870117,2226.320068,2212.780029,2226.290039,2226.290039,2103530000,0.546479675,1.958297318,2.244874827,3.651055126,3.506484255
2/18/2010,2223.219971,2243.5,2221.139893,2241.709961,2241.709961,2076820000,0.692628621,1.242893371,2.664489667,2.953052094,4.368972
2/19/2010,2233.330078,2249.800049,2228.929932,2243.870117,2243.870117,2166660000,0.096361975,0.789658027,1.340453023,2.763419197,3.052259689
2/22/2010,2250.919922,2251.679932,2235.649902,2242.030029,2242.030029,1976290000,-0.082005103,0.014277851,0.707005364,1.25734868,2.67914795
2/23/2010,2238.01001,2239.800049,2205.699951,2213.439941,2213.439941,2310910000,-1.275187559,-1.356146943,-1.261091778,-0.577197839,-0.033872433
2/24/2010,2222.399902,2241.689941,2221.280029,2235.899902,2235.899902,2155810000,1.0147084,-0.273418595,-0.355199481,-0.259179782,0.431653685
2/25/2010,2208.620117,2236.209961,2198.72998,2234.219971,2234.219971,2300530000,-0.075134446,0.938811558,-0.348347609,-0.430067049,-0.334119495
2/26/2010,2234.439941,2242.830078,2222.22998,2238.26001,2238.26001,2283430000,0.180825481,0.105555173,1.121334649,-0.16815203,-0.250019239
3/1/2010,2247.399902,2274.02002,2247.330078,2273.570068,2273.570068,2504940000,1.5775673,1.761245424,1.684787676,2.716591758,1.406762559
3/2/2010,2279.070068,2292.48999,2275.350098,2280.790039,2280.790039,2831870000,0.317560963,1.900138,2.084399415,2.007698867,3.042779556
3/3/2010,2284.820068,2293.320068,2275.25,2280.679932,2280.679932,2603510000,-0.004827582,0.312718051,1.895218688,2.079471207,2.002774362
3/4/2010,2282.570068,2293.159912,2273.629883,2292.310059,2292.310059,2186020000,0.509941217,0.505089018,0.824253946,2.414824406,2.600016505
3/5/2010,2304.01001,2327.030029,2301.100098,2326.350098,2326.350098,2411880000,1.484966611,2.002480285,1.997556032,2.321460453,3.935650354
3/8/2010,2326.25,2335.429932,2326.110107,2332.209961,2332.209961,2312310000,0.251890848,1.740597955,2.259415198,2.254478541,2.579198848
3/9/2010,2325.780029,2353.070068,2325.73999,2340.679932,2340.679932,2620360000,0.363173605,0.615979255,2.110092952,2.630794403,2.625839818
3/10/2010,2340.949951,2361.659912,2340.689941,2358.949951,2358.949951,2554740000,0.780543241,1.146551573,1.40133048,2.907106381,3.431872132
3/11/2010,2351.110107,2368.459961,2347.530029,2368.459961,2368.459961,2256790000,0.4031459,1.186835869,1.554319748,1.810125786,3.321972161
3/12/2010,2376.070068,2376.280029,2358.080078,2367.659912,2367.659912,2098780000,-0.033779292,0.369230428,1.152655672,1.520015419,1.775735047
3/15/2010,2361.919922,2367.399902,2345.98999,2362.209961,2362.209961,1956170000,-0.230183016,-0.263884554,0.138197506,0.919819438,1.286333585
3/16/2010,2367.320068,2378.840088,2360.669922,2378.01001,2378.01001,2201880000,0.668867258,0.437144623,0.403217667,0.807989122,1.594839067
3/17/2010,2381.649902,2400.090088,2381.469971,2389.090088,2389.090088,2281410000,0.465939082,1.137922854,0.905120532,0.871035497,1.277692941
3/18/2010,2387.540039,2393.870117,2383.26001,2391.280029,2391.280029,2173060000,0.091664229,0.55803041,1.230630151,0.997614433,0.963498154
3/19/2010,2391.199951,2396.919922,2364.530029,2374.409912,2374.409912,3055760000,-0.705484795,-0.614467243,-0.151391205,0.516463447,0.28509162
3/22/2010,2360.350098,2401.209961,2358,2395.399902,2395.399902,2448130000,0.884008692,0.17228735,0.264109505,0.731279176,1.405037721
3/23/2010,2397.899902,2416.51001,2390.040039,2415.23999,2415.23999,2465230000,0.828257861,1.719588425,1.001972195,1.094554874,1.565593914
3/24/2010,2406.719971,2408.639893,2396.919922,2398.76001,2398.76001,2436100000,-0.682333021,0.140273363,1.025522083,0.312802387,0.404753343
3/25/2010,2415.23999,2432.25,2397.360107,2397.409912,2397.409912,2704870000,-0.056283163,-0.738232146,0.08391125,0.968661724,0.256343169
